nom_hotel,ref_dossier,date_resa,date_depart,réseau,regroupement_réseau,adu,enf,dep,arr,destination,nts,brut_ttc,cie,achats_prev,comm.,marge_net
HOTEL 20,400468AA40,2025-02-26,2025-04-03,CRELCEL,B2B,2,0,NTE,RHO,RHODES,3,756.0,TO,662.985,110.16,-17.14500000000001
HOTEL 20,236058AA23,2025-01-28,2025-04-03,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,1478.0,TO,1018.845,237.96,221.19499999999996
HOTEL 20,961368AA96,2025-02-25,2025-04-03,RUOFERRAC,B2B,4,0,NTE,RHO,RHODES,7,2520.0,TO,2046.6000000000001,402.46,70.93999999999988
HOTEL 20,360848AA36,2025-01-22,2025-04-03,SA,B2B,4,0,NTE,RHO,RHODES,7,2536.0,TO,1767.69,353.47,414.8399999999999
HOTEL 20,703268AA70,2025-02-23,2025-04-03,TXENML,B2B,1,0,NTE,RHO,RHODES,7,681.0,TO,393.588,60.9,226.51199999999997
HOTEL 20,729268AA72,2025-02-24,2025-04-03,SA,B2B,5,1,NTE,RHO,RHODES,7,3378.0,TO,2424.735,484.85,468.41499999999985
HOTEL 20,538548AA53,2025-01-18,2025-04-03,SA,B2B,4,0,NTE,RHO,RHODES,7,2536.0,TO,1767.69,353.47,414.8399999999999
HOTEL 20,950468AA95,2025-02-26,2025-04-03,MACOMORP,B2C,2,0,NTE,RHO,RHODES,7,1072.0,TO,865.845,0.0,206.15499999999997
HOTEL 20,321668AA32,2025-03-03,2025-04-03,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,1006.0,TO,833.4449999999999,155.16,17.395000000000067
HOTEL 20,144468AA14,2025-02-27,2025-04-03,CRELCEL,B2B,3,1,NTE,RHO,RHODES,7,2185.0,TO,1875.465,340.56,-31.02499999999992
HOTEL 20,233868AA23,2025-03-08,2025-04-04,CRELCEL,B2B,2,0,PAR,RHO,RHODES,7,1174.0,TO,1054.845,182.16,-63.005000000000024
HOTEL 20,643858AA64,2025-02-14,2025-04-04,MACOMORP,B2C,2,0,PAR,RHO,RHODES,7,902.0,TO,741.645,0.0,160.35500000000002
HOTEL 20,768858AA76,2025-02-16,2025-04-04,RUOFERRAC,B2B,4,0,PAR,RHO,RHODES,7,1900.0,TO,1591.29,285.68,23.03000000000003
HOTEL 20,026658AA02,2025-02-11,2025-04-04,CRELCEL,B2B,2,0,PAR,RHO,RHODES,7,944.0,TO,702.045,128.16,113.79500000000004
HOTEL 20,416658AA41,2025-02-11,2025-04-04,CRELCEL,B2B,3,0,PAR,RHO,RHODES,7,1649.0,TO,1085.733,234.18,329.08700000000005
HOTEL 20,832758AA83,2025-02-12,2025-04-04,CRELCEL,B2B,4,1,PAR,RHO,RHODES,9,3332.0,TO,2462.436,522.36,347.20399999999984
HOTEL 20,863968AA86,2025-03-10,2025-04-05,TNUOCSIDC,B2B,2,0,BRU,RHO,RHODES,7,1270.0,FR,939.969,206.64,123.39099999999996
HOTEL 8,735138AA73,2024-12-09,2025-04-05,MACOMORP,B2C,8,1,NTE,HER,CRETE,7,9289.23,GQ,7490.5560000000005,0.0,1798.673999999999
HOTEL 8,696748AA69,2025-01-21,2025-04-05,MACOMORP,B2C,4,0,PAR,HER,CRETE,7,4828.0,TO,4002.1200000000003,0.0,825.8799999999997
HOTEL 8,567538AA56,2024-12-23,2025-04-05,MACOMORP,B2C,5,0,NTE,HER,CRETE,6,5690.0,TO,4735.4400000000005,0.0,954.5599999999995
HOTEL 8,324648AA32,2025-01-19,2025-04-05,MACOMORP,B2C,2,0,BOD,HER,CRETE,7,2136.0,U2,1684.872,0.0,451.12799999999993
HOTEL 8,865818AA86,2024-10-28,2025-04-05,MOCRUOT,B2B,4,0,PAR,HER,CRETE,7,4996.0,GQ,3736.116,788.93,470.95400000000006
HOTEL 8,578138AA57,2024-12-10,2025-04-05,TJ,B2C,4,0,MRS,HER,CRETE,5,3400.0,V7,2723.76,0.0,676.2399999999998
HOTEL 20,974368AA97,2025-02-25,2025-04-05,MACOMORP,B2C,4,0,BRU,RHO,RHODES,7,2755.6,FR,2301.1380000000004,0.0,454.46199999999953
HOTEL 8,589678AA58,2025-03-28,2025-04-05,NUALAS,B2B,2,0,MRS,HER,CRETE,3,1764.0,V7,1373.058,271.15,119.79200000000003
HOTEL 8,068648AA06,2025-01-20,2025-04-05,FSAVAH,B2B,2,0,LIL,HER,CRETE,7,3464.0,A3,2792.772,553.73,117.49800000000005
HOTEL 20,571968AA57,2025-03-10,2025-04-05,FSAVAH,B2B,4,0,BRU,RHO,RHODES,7,2180.0,FR,1555.9379999999999,352.8,271.2620000000001
HOTEL 8,490458AA49,2025-02-05,2025-04-05,VEC,GROUPES,2,0,GVA,HER,CRETE,7,1890.0,U2,1479.546,0.0,410.45399999999995
HOTEL 8,191368AA19,2025-02-25,2025-04-05,FSAVAH,B2B,4,1,PAR,HER,CRETE,7,6416.0,TO,4478.9400000000005,1021.61,915.4499999999995
HOTEL 8,124578AA12,2025-03-25,2025-04-05,SA,B2B,1,0,PAR,HER,CRETE,7,1804.0,TO,1420.74,294.17,89.08999999999997
HOTEL 8,578348AA57,2025-01-14,2025-04-05,GPV,B2B,3,1,BOD,HER,CRETE,7,4353.0,U2,3249.621,716.58,386.79899999999986
HOTEL 8,610158AA61,2025-01-29,2025-04-05,GPV,B2B,2,0,BOD,HER,CRETE,7,2246.0,U2,1940.5439999999999,376.2,-70.74399999999986
HOTEL 8,260358AA26,2025-02-02,2025-04-05,GPV,B2B,2,0,PAR,HER,CRETE,7,2902.0,TO,2145.06,455.04,301.90000000000003
HOTEL 8,874078AA87,2025-03-13,2025-04-05,GPV,B2B,4,0,MRS,HER,CRETE,7,4876.0,V7,4096.295999999999,707.76,71.94400000000064
HOTEL 8,575478AA57,2025-03-22,2025-04-05,GPV,B2B,2,0,NTE,HER,CRETE,7,2976.0,TO,2620.6200000000003,484.2,-128.82000000000033
HOTEL 8,439548AA43,2025-01-18,2025-04-05,CRELCEL,B2B,2,0,PAR,HER,CRETE,7,2092.0,TO,1727.46,296.4,68.13999999999999
HOTEL 8,405938AA40,2025-01-06,2025-04-05,CRELCEL,B2B,2,0,BOD,HER,CRETE,7,2968.0,U2,2183.58,436.18,348.24000000000007
HOTEL 8,348428AA34,2024-11-19,2025-04-05,CRELCEL,B2B,4,0,NTE,HER,CRETE,7,3971.08,GQ,3197.016,553.49,220.57399999999984
HOTEL 8,279428AA27,2024-11-19,2025-04-05,CRELCEL,B2B,4,1,NTE,HER,CRETE,7,4847.85,GQ,3767.58,673.76,406.51000000000045
HOTEL 8,699328AA69,2024-11-16,2025-04-05,CRELCEL,B2B,2,0,GVA,HER,CRETE,7,1790.0,U2,1459.278,268.94,61.78199999999998
HOTEL 8,538578AA53,2025-03-26,2025-04-05,CRELCEL,B2B,5,2,PAR,HER,CRETE,7,7787.0,TO,6810.3,885.72,90.97999999999979
HOTEL 8,417538AA41,2024-12-23,2025-04-05,RUOFERRAC,B2B,2,1,NCE,HER,CRETE,7,2465.0,LH,2170.701,334.7,-40.40100000000001
HOTEL 15,493258AA49,2025-01-31,2025-04-05,CRELCEL,B2B,2,0,BOD,HER,CRETE,7,2526.0,U2,1647.054,426.6,452.3459999999999
HOTEL 8,846338AA84,2024-12-16,2025-04-05,MACOMORP,B2C,4,2,NTE,HER,CRETE,7,6941.0,TO,5949.206999999999,0.0,991.7930000000006
HOTEL 8,946338AA94,2024-12-16,2025-04-05,MACOMORP,B2C,2,2,NTE,HER,CRETE,7,4076.0,V7,3714.5879999999997,0.0,361.41200000000026
HOTEL 8,428868AA42,2025-03-09,2025-04-05,LEVARAK,B2B,2,0,PAR,HER,CRETE,7,2780.0,TO,2145.06,318.72,316.22
HOTEL 8,258518AA25,2024-10-16,2025-04-05,MACOMORP,B2C,3,1,NTE,HER,CRETE,7,2591.7,GQ,2827.269,0.0,-235.56899999999996
HOTEL 8,617138AA61,2024-12-09,2025-04-05,MACOMORP,B2C,2,2,MRS,HER,CRETE,7,3275.66,V7,2873.1600000000003,0.0,402.49999999999955
HOTEL 8,486428AA48,2024-11-18,2025-04-05,SA,B2B,2,0,NTE,HER,CRETE,7,2137.54,GQ,1666.548,323.57,147.42199999999997
HOTEL 8,087248AA08,2025-01-13,2025-04-05,GPV,B2B,3,0,BRU,HER,CRETE,7,5775.0,SN,3682.8,933.66,1158.54
HOTEL 8,115168AA11,2025-02-21,2025-04-05,SA,B2B,3,1,PAR,HER,CRETE,7,5676.0,TO,3697.2000000000003,905.18,1073.62
HOTEL 8,713148AA71,2025-01-10,2025-04-05,SA,B2B,5,0,NTE,HER,CRETE,6,6832.0,TO,4869.540000000001,1069.65,892.809999999999
HOTEL 8,746428AA74,2024-11-18,2025-04-05,SA,B2B,5,1,NTE,HER,CRETE,7,6176.62,GQ,4488.777,931.06,756.7829999999999
HOTEL 8,576058AA57,2025-01-28,2025-04-05,CRELCEL,B2B,2,2,NTE,HER,CRETE,7,4544.0,A3,4170.897,693.26,-320.1569999999999
HOTEL 8,256578AA25,2025-03-25,2025-04-05,CRELCEL,B2B,1,1,BSL,HER,CRETE,7,1742.0,LH,1688.526,158.16,-104.68600000000006
HOTEL 20,403268AA40,2025-02-23,2025-04-05,MACOMORP,B2C,3,0,BRU,RHO,RHODES,9,2248.61,FR,1858.455,0.0,390.1550000000002
HOTEL 8,786158AA78,2025-01-30,2025-04-05,PATERP,B2B,2,2,PAR,HER,CRETE,7,5804.08,AF,3629.7000000000003,956.34,1218.0399999999995
HOTEL 20,873968AA87,2025-03-11,2025-04-05,CRELCEL,B2B,2,0,PAR,RHO,RHODES,7,1584.0,LH,1044.747,198.36,340.8929999999999
HOTEL 8,149958AA14,2025-02-18,2025-04-06,CRELCEL,B2B,2,0,PAR,HER,CRETE,7,2312.0,U2,1965.9420000000002,395.28,-49.22200000000021
HOTEL 19,269628AA26,2024-11-26,2025-04-06,SA,B2B,2,0,PAR,RHO,RHODES,7,2538.0,TO,1993.59,385.39,159.0200000000001
HOTEL 19,863948AA86,2025-01-25,2025-04-06,SA,B2B,11,0,PAR,RHO,RHODES,7,17193.0,TO,12007.466999999999,2744.28,2441.253000000001
HOTEL 8,648428AA64,2024-11-19,2025-04-06,SA,B2B,5,2,PAR,HER,CRETE,7,9956.0,TO,6870.591,1586.76,1498.6489999999997
HOTEL 19,683548AA68,2025-01-17,2025-04-06,SA,B2B,4,0,NTE,RHO,RHODES,7,4228.0,TO,2921.769,657.89,648.3410000000002
HOTEL 8,695518AA69,2024-10-16,2025-04-06,SA,B2B,6,0,LIL,HER,CRETE,7,6600.0,GQ,5684.795999999999,1037.23,-122.02599999999939
HOTEL 8,565968AA56,2025-03-11,2025-04-06,SA,B2B,2,0,PAR,HER,CRETE,7,2824.0,U2,1893.8340000000003,453.26,476.9059999999997
HOTEL 20,497668AA49,2025-03-04,2025-04-06,MACOMORP,B2C,4,0,NTE,RHO,RHODES,4,2204.0,TO,1829.7,0.0,374.29999999999995
HOTEL 19,237548AA23,2025-01-18,2025-04-06,MACOMORP,B2C,5,2,NTE,RHO,RHODES,7,7294.2,TO,5095.026000000001,0.0,2199.173999999999
HOTEL 20,762948AA76,2025-01-24,2025-04-06,MACOMORP,B2C,2,0,PAR,RHO,RHODES,6,1270.0,TO,979.3800000000001,0.0,290.6199999999999
HOTEL 8,754158AA75,2025-01-29,2025-04-06,MACOMORP,B2C,3,0,BSL,HER,CRETE,7,3795.0,U2,2925.909,0.0,869.0909999999999
HOTEL 8,758258AA75,2025-02-01,2025-04-06,MACOMORP,B2C,2,0,BSL,HER,CRETE,7,2022.0,U2,1793.988,0.0,228.01199999999994
HOTEL 20,683468AA68,2025-02-27,2025-04-06,RUOFERRAC,B2B,3,0,NTE,RHO,RHODES,11,3129.0,TO,2342.889,534.83,251.28099999999984
HOTEL 19,515848AA51,2025-01-23,2025-04-06,RUOFERRAC,B2B,6,3,PAR,RHO,RHODES,7,9648.0,TO,5713.344,1580.06,2354.596
HOTEL 8,637568AA63,2025-03-02,2025-04-06,CRELCEL,B2B,4,0,BRU,HER,CRETE,7,4464.0,FR,3469.968,683.9,310.1320000000002
HOTEL 19,912548AA91,2025-01-17,2025-04-06,CRELCEL,B2B,2,1,NTE,RHO,RHODES,7,3034.0,TO,2063.601,504.0,466.3989999999999
HOTEL 19,178478AA17,2025-03-24,2025-04-06,CRELCEL,B2B,1,1,LIL,RHO,RHODES,7,1670.0,V7,1350.252,267.12,52.62800000000004
HOTEL 20,402948AA40,2025-01-24,2025-04-06,CRELCEL,B2B,4,1,BSL,RHO,RHODES,4,1953.0,U2,1346.22,292.14,314.64
HOTEL 19,608768AA60,2025-03-07,2025-04-06,CRELCEL,B2B,2,2,PAR,RHO,RHODES,7,5832.0,TO,3929.922,991.44,910.6379999999999
HOTEL 19,562448AA56,2025-01-15,2025-04-06,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,1946.0,TO,1536.3899999999999,311.4,98.21000000000015
HOTEL 20,015748AA01,2025-01-21,2025-04-06,CRELCEL,B2B,4,0,NTE,RHO,RHODES,7,3408.0,TO,2880.09,535.68,-7.7700000000000955
HOTEL 8,514968AA51,2025-03-11,2025-04-06,GPV,B2B,2,0,PAR,HER,CRETE,7,2412.0,U2,1893.8340000000003,380.88,137.28599999999972
HOTEL 8,224968AA22,2025-03-11,2025-04-06,GPV,B2B,2,0,PAR,HER,CRETE,7,2232.0,U2,1767.834,380.88,83.28599999999994
HOTEL 8,888968AA88,2025-03-11,2025-04-06,GPV,B2B,2,0,GVA,HER,CRETE,7,2428.0,LH,1963.6560000000002,399.24,65.10399999999981
HOTEL 8,644848AA64,2025-01-23,2025-04-06,SAVAH,B2B,2,0,NCE,HER,CRETE,7,2540.0,LH,1916.982,335.33,287.68800000000005
HOTEL 19,931258AA93,2025-01-31,2025-04-06,SAVAH,B2B,2,0,LIL,RHO,RHODES,7,2274.0,V7,1545.534,335.66,392.80599999999987
HOTEL 19,062258AA06,2025-01-31,2025-04-06,SAVAH,B2B,2,0,BSL,RHO,RHODES,4,1342.0,U2,942.174,203.28,196.54600000000002
HOTEL 19,435648AA43,2025-01-20,2025-04-06,IUT,B2B,2,0,LIL,RHO,RHODES,7,2356.0,V7,1532.592,324.48,498.9279999999999
HOTEL 8,764918AA76,2024-10-31,2025-04-06,SA,B2B,5,2,PAR,HER,CRETE,7,7750.0,TO,5711.58,1216.16,822.26
HOTEL 8,650778AA65,2025-03-28,2025-04-06,CRELCEL,B2B,2,2,BRU,HER,CRETE,7,3748.0,FR,3538.368,440.16,-230.52799999999996
HOTEL 20,969358AA96,2025-02-04,2025-04-06,CRELCEL,B2B,2,0,LIL,RHO,RHODES,7,1708.0,V7,1178.289,257.76,271.951
HOTEL 8,295638AA29,2024-12-27,2025-04-06,NUALAS,B2B,6,0,PAR,HER,CRETE,7,6990.0,TO,5743.98,1077.55,168.47000000000048
HOTEL 8,510648AA51,2025-01-18,2025-04-06,FSAVAH,B2B,3,0,PAR,HER,CRETE,7,3664.0,U2,2657.34,573.72,432.9399999999998
HOTEL 19,009058AA00,2025-01-28,2025-04-06,FSAVAH,B2B,2,2,PAR,RHO,RHODES,5,3102.0,TO,2060.829,443.18,597.9909999999998
HOTEL 8,027928AA02,2024-12-03,2025-04-06,MACOMORP,B2C,5,1,LIL,HER,CRETE,7,6644.4,GQ,4663.143000000001,0.0,1981.2569999999987
HOTEL 8,153868AA15,2025-03-08,2025-04-06,FSAVAH,B2B,1,0,PAR,HER,CRETE,7,2188.0,TO,1429.74,356.33,401.93
HOTEL 8,792668AA79,2025-03-03,2025-04-06,CRELCEL,B2B,2,0,BSL,HER,CRETE,7,2238.0,U2,1858.212,389.88,-10.091999999999985
HOTEL 19,705048AA70,2025-01-08,2025-04-06,PATERP,B2B,2,0,BSL,RHO,RHODES,7,1836.0,U2,1459.818,306.72,69.46199999999999
HOTEL 19,361078AA36,2025-03-12,2025-04-06,PATERP,B2B,2,0,BSL,RHO,RHODES,7,2120.0,U2,1646.586,368.64,104.774
HOTEL 20,834068AA83,2025-02-19,2025-04-06,PATERP,B2B,2,0,LIL,RHO,RHODES,7,3242.0,V7,2292.3450000000003,516.96,432.6949999999997
HOTEL 20,380968AA38,2025-03-10,2025-04-07,CRELCEL,B2B,2,0,BRU,RHO,RHODES,7,1150.0,FR,846.369,199.8,103.83099999999996
HOTEL 8,211858AA21,2025-02-14,2025-04-07,IUT,B2B,2,1,NTE,HER,CRETE,9,4846.0,TO,3377.7000000000003,726.96,741.3399999999997
HOTEL 8,874578AA87,2025-03-25,2025-04-07,NUALAS,B2B,1,1,NTE,HER,CRETE,7,2590.0,TO,2271.06,417.31,-98.36999999999995
HOTEL 8,254678AA25,2025-03-27,2025-04-07,NUALAS,B2B,3,2,NTE,HER,CRETE,7,6815.0,TO,5103.900000000001,1091.99,619.1099999999994
HOTEL 8,607658AA60,2025-02-11,2025-04-07,CRELCEL,B2B,2,0,PAR,HER,CRETE,4,1942.0,TO,1769.4,288.29,-115.69000000000011
HOTEL 8,536058AA53,2025-01-28,2025-04-07,TJ,B2C,2,0,PAR,HER,CRETE,7,2328.0,TO,1965.0600000000002,0.0,362.9399999999998
HOTEL 8,899078AA89,2025-03-14,2025-04-07,FSAVAH,B2B,1,0,PAR,HER,CRETE,7,1930.0,TO,1556.6399999999999,343.23,30.13000000000011
HOTEL 8,202248AA20,2025-01-11,2025-04-07,CRELCEL,B2B,4,0,PAR,HER,CRETE,7,5264.0,TO,3510.594,874.08,879.3259999999999
HOTEL 8,584778AA58,2025-03-29,2025-04-07,CRELCEL,B2B,2,0,NTE,HER,CRETE,5,2286.0,TO,2231.532,261.96,-207.49200000000013
HOTEL 8,783678AA78,2025-03-27,2025-04-07,SA,B2B,4,0,NTE,HER,CRETE,7,5592.0,TO,4902.12,897.12,-207.2399999999999
HOTEL 8,249818AA24,2024-10-29,2025-04-07,SA,B2B,4,0,PAR,HER,CRETE,9,4847.2,TO,4200.48,854.11,-207.38999999999976
HOTEL 8,029058AA02,2025-01-28,2025-04-07,CRELCEL,B2B,2,1,PAR,HER,CRETE,6,3249.0,TO,2569.86,529.74,149.39999999999986
HOTEL 8,584848AA58,2025-01-23,2025-04-08,MOCRUOT,B2B,4,1,MRS,HER,CRETE,7,5133.0,GQ,3665.79,781.71,685.5
HOTEL 19,656668AA65,2025-03-04,2025-04-08,MACOMORP,B2C,2,0,BRU,RHO,RHODES,6,1662.0,FR,1385.928,0.0,276.0719999999999
HOTEL 8,701878AA70,2025-03-31,2025-04-08,MACOMORP,B2C,3,2,BRU,HER,CRETE,7,5049.0,FR,4401.72,0.0,647.2799999999997
HOTEL 8,687478AA68,2025-03-23,2025-04-08,MACOMORP,B2C,4,1,BRU,HER,CRETE,5,4126.6,FR,3536.9100000000003,0.0,589.69
HOTEL 8,132868AA13,2025-03-08,2025-04-08,CRELCEL,B2B,2,2,NTE,HER,CRETE,7,5061.0,V7,3955.644,743.34,362.0160000000002
HOTEL 8,070378AA07,2025-03-19,2025-04-08,CRELCEL,B2B,2,0,BES,HER,CRETE,7,2220.0,V7,1850.3280000000002,321.67,48.00199999999978
HOTEL 8,870138AA87,2024-12-07,2025-04-08,MOCRUOT,B2B,2,0,NTE,HER,CRETE,7,2270.0,V7,2001.2939999999999,355.15,-86.44399999999985
HOTEL 8,529068AA52,2025-02-20,2025-04-08,CRELCEL,B2B,2,0,NTE,HER,CRETE,9,2782.0,V7,2187.162,404.66,190.17800000000017
HOTEL 20,760568AA76,2025-02-28,2025-04-08,CRELCEL,B2B,2,0,BRU,RHO,RHODES,7,1220.0,FR,956.1690000000001,212.4,51.4309999999999
HOTEL 8,408578AA40,2025-03-26,2025-04-08,TJ,B2C,2,2,BRU,HER,CRETE,7,4272.44,FR,3308.328,0.0,964.1119999999996
HOTEL 8,333348AA33,2025-01-14,2025-04-08,TJ,B2C,2,1,MRS,HER,CRETE,8,3448.41,V7,2574.378,0.0,874.0319999999997
HOTEL 8,730428AA73,2024-11-16,2025-04-08,PEDNI,B2B,2,0,BRU,HER,CRETE,7,2324.0,FR,1787.184,383.71,153.10600000000005
HOTEL 19,122568AA12,2025-03-01,2025-04-08,MACOMORP,B2C,2,0,BRU,RHO,RHODES,6,1381.0,FR,1196.9640000000002,0.0,184.03599999999983
HOTEL 8,125678AA12,2025-03-27,2025-04-10,TJ,B2C,4,0,MRS,HER,CRETE,6,3945.0,V7,2922.516,0.0,1022.4839999999999
HOTEL 20,407748AA40,2025-01-21,2025-04-10,CRELCEL,B2B,3,0,NTE,RHO,RHODES,7,2440.0,TO,1565.2530000000002,396.0,478.74699999999984
HOTEL 20,663568AA66,2025-03-01,2025-04-10,SA,B2B,3,1,NTE,RHO,RHODES,7,3044.0,TO,2527.29,463.01,53.700000000000045
HOTEL 20,912658AA91,2025-02-10,2025-04-10,CRELCEL,B2B,2,1,NTE,RHO,RHODES,14,2876.0,TO,2040.381,459.36,376.2589999999999
HOTEL 8,630678AA63,2025-03-26,2025-04-10,SAVAH,B2B,2,0,NTE,HER,CRETE,7,2762.0,V7,2239.812,439.15,83.03800000000012
HOTEL 19,129078AA12,2025-03-14,2025-04-10,PEDNI,B2B,2,0,BSL,RHO,RHODES,7,1664.0,U2,1374.642,191.04,98.31799999999996
HOTEL 19,269548AA26,2025-01-18,2025-04-10,PV,B2B,2,0,NTE,RHO,RHODES,7,1824.0,TO,1471.788,0.0,352.212
HOTEL 8,880268AA88,2025-02-22,2025-04-10,GPV,B2B,2,2,PAR,HER,CRETE,7,3572.0,TO,3063.537,593.82,-85.35699999999986
HOTEL 20,864658AA86,2025-02-11,2025-04-10,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,1464.0,TO,1171.359,224.64,68.00100000000009
HOTEL 8,158028AA15,2024-11-06,2025-04-10,CRELCEL,B2B,2,1,NTE,HER,CRETE,6,2645.0,GQ,1861.011,476.64,307.34900000000005
HOTEL 20,634848AA63,2025-01-23,2025-04-10,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,1678.0,TO,1170.045,263.16,244.7949999999999
HOTEL 20,053968AA05,2025-03-10,2025-04-10,CRELCEL,B2B,2,0,BSL,RHO,RHODES,7,1016.0,U2,788.1210000000001,169.92,57.95899999999992
HOTEL 19,077548AA07,2025-01-18,2025-04-10,CRELCEL,B2B,2,1,BSL,RHO,RHODES,7,2524.0,U2,1922.4180000000001,418.68,182.90199999999987
HOTEL 20,783568AA78,2025-03-01,2025-04-10,CRELCEL,B2B,2,0,BSL,RHO,RHODES,7,988.0,U2,818.397,164.88,4.722999999999956
HOTEL 20,017658AA01,2025-02-11,2025-04-10,CRELCEL,B2B,1,0,NTE,RHO,RHODES,7,968.0,TO,598.788,154.8,214.41199999999998
HOTEL 20,135468AA13,2025-02-27,2025-04-10,CRELCEL,B2B,4,0,BSL,RHO,RHODES,7,1976.0,U2,1449.018,329.76,197.22199999999998
HOTEL 20,227068AA22,2025-02-20,2025-04-10,MACOMORP,B2C,8,0,NTE,RHO,RHODES,7,5777.6,TO,5040.18,0.0,737.4200000000001
HOTEL 19,602648AA60,2025-01-18,2025-04-10,SA,B2B,3,2,NTE,RHO,RHODES,7,5520.0,TO,3434.922,836.64,1248.438
HOTEL 20,378948AA37,2025-01-26,2025-04-10,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,1678.0,TO,1170.045,263.16,244.7949999999999
HOTEL 19,478368AA47,2025-02-26,2025-04-10,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,2786.0,TO,1880.19,475.56,430.24999999999994
HOTEL 20,063648AA06,2025-01-19,2025-04-10,CRELCEL,B2B,4,0,NTE,RHO,RHODES,7,3088.0,TO,2152.89,478.08,457.03000000000014
HOTEL 8,881718AA88,2024-10-22,2025-04-10,SA,B2B,2,3,NTE,HER,CRETE,8,6184.0,GQ,3750.8849999999998,928.03,1505.0850000000003
HOTEL 8,743828AA74,2024-11-29,2025-04-10,SA,B2B,2,0,NTE,HER,CRETE,7,2358.0,V7,2010.2939999999999,353.14,-5.433999999999855
HOTEL 8,317578AA31,2025-03-25,2025-04-10,RUOFERRAC,B2B,2,0,PAR,HER,CRETE,7,2242.0,U2,1996.4340000000002,390.33,-144.76400000000018
HOTEL 8,221068AA22,2025-02-18,2025-04-10,RUOFERRAC,B2B,2,0,PAR,HER,CRETE,8,2588.0,TO,2189.5200000000004,450.55,-52.07000000000045
HOTEL 8,992638AA99,2024-12-26,2025-04-11,CRELCEL,B2B,4,0,PAR,HER,CRETE,7,3755.08,GQ,3310.848,519.79,-75.55799999999999
HOTEL 8,252738AA25,2024-12-30,2025-04-11,CRELCEL,B2B,6,2,PAR,HER,CRETE,7,7542.16,GQ,6621.696,1044.58,-124.11599999999999
HOTEL 8,845828AA84,2024-11-30,2025-04-11,MOCRUOT,B2B,2,0,PAR,HER,CRETE,7,2159.54,GQ,1655.424,324.58,179.536
HOTEL 8,817088AA81,2025-04-07,2025-04-11,MACOMORP,B2C,1,0,PAR,HER,CRETE,11,3233.0,TO,2552.2200000000003,0.0,680.7799999999997
